country_ch,country_en,cases,deaths
ÁæéÂ?,United States,"30,850,493","566,857"
Â∑¥Ë•ø,Brazil,"13,100,580","336,947"
?∞Â∫¶,India,"12,686,049","165,547"
Ê≥ïÂ?,France,"4,841,308","97,273"
?±Â?,United Kingdom,"4,364,529","126,882"
?üËÄ≥ÂÖ∂,Turkey,"3,579,185","32,667"
Âæ∑Â?,Germany,"2,900,768","77,103"
Ê≥¢Ëò≠,Poland,"2,456,709","55,065"
‰ºäÊ?,Iran,"1,963,394","63,506"
ÁßòÈ≠Ø,Peru,"1,598,593","53,411"
?∑Â?,Czech Republic,"1,555,245","27,169"
?óÈ?,South Africa,"1,552,853","53,032"
?∞Â∞º,Indonesia,"1,542,516","41,977"
?∑Ëò≠,Netherlands,"1,313,007","16,649"
?∫Âà©,Chile,"1,037,780","23,734"
ÁæÖÈ¶¨Â∞º‰?,Romania,"983,217","24,386"
?ûÂÖ∏,Sweden,"834,993","13,533"
Â∑¥Âü∫?ØÂù¶,Pakistan,"696,184","14,924"
Á¥ÑÊó¶,Jordan,"645,449","7,383"
Â°ûÁàæÁ∂≠‰?,Serbia,"625,773","5,537"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
